"","team","offense","defense","overall"
"1","Argentina",1.06901841115452,-1.334362339947,2.40338075110152
"2","Brazil",1.12191213717059,-1.0369847760377,2.15889691320829
"3","Spain",1.01680827113795,-1.0247364635477,2.04154473468565
"4","England",0.981902221427566,-1.01637484580649,1.99827706723406
"5","France",1.15319807139237,-0.829698834138055,1.98289690553043
"6","Portugal",0.973060377020048,-1.00056712627326,1.9736275032933
"7","Belgium",0.994017187244719,-0.83179243149239,1.82580961873711
"8","Japan",0.973083094940994,-0.80691438607248,1.77999748101347
"9","Colombia",0.779331119194449,-0.983629479162332,1.76296059835678
"10","Uruguay",0.803986027233012,-0.954276178883309,1.75826220611632
"11","United States",0.782174566424573,-0.902634724364612,1.68480929078918
"12","Morocco",0.617905727396651,-1.01144274384079,1.62934847123744
"13","Netherlands",0.965652972765495,-0.655255859791869,1.62090883255736
"14","Croatia",0.78945336168303,-0.826557172481481,1.61601053416451
"15","Italy",0.793995556833253,-0.807908101126712,1.60190365795997
"16","Australia",0.736296915639811,-0.815984396383868,1.55228131202368
"17","Tunisia",0.38568179809463,-1.12498404352238,1.51066584161701
"18","Iran",0.861393105090361,-0.647167360108082,1.50856046519844
"19","Germany",1.00689496900825,-0.496261376531036,1.50315634553929
"20","Ecuador",0.581240862417262,-0.912564686065736,1.493805548483
"21","Mexico",0.670170970382128,-0.793182593805662,1.46335356418779
"22","Denmark",0.647254772852459,-0.81477775062743,1.46203252347989
"23","Mali",0.537633658442566,-0.853927716486776,1.39156137492934
"24","Senegal",0.61050080556676,-0.738239922039854,1.34874072760661
"25","Serbia",0.766927970476656,-0.509986263405474,1.27691423388213
"26","Canada",0.778657185685846,-0.497120943823034,1.27577812950888
"27","Greece",0.436092795253498,-0.838838330948065,1.27493112620156
"28","Austria",0.717080857526474,-0.553853270627424,1.2709341281539
"29","Hungary",0.527370758613823,-0.734054504197586,1.26142526281141
"30","South Korea",0.714868482949891,-0.489905420016626,1.20477390296652
"31","Switzerland",0.680392080503728,-0.497027520376232,1.17741960087996
"32","Uzbekistan",0.569538354668852,-0.605836846030066,1.17537520069892
"33","Algeria",0.761335576090948,-0.410825888032656,1.1721614641236
"34","Ukraine",0.575889410588906,-0.548394517118765,1.12428392770767
"35","Egypt",0.552185426065613,-0.561706671605028,1.11389209767064
"36","Czech Republic",0.566547484334055,-0.545945174404507,1.11249265873856
"37","Norway",0.64909245329883,-0.461669289951631,1.11076174325046
"38","Russia",0.56025495684606,-0.533746880726717,1.09400183757278
"39","Ivory Coast",0.53878533161096,-0.50755309986447,1.04633843147543
"40","Peru",0.41915970663415,-0.625069214012813,1.04422892064696
"41","Poland",0.564889527533669,-0.472969100731126,1.0378586282648
"42","Scotland",0.518389942164917,-0.502457080710492,1.02084702287541
"43","Sweden",0.623030561432687,-0.397012080464792,1.02004264189748
"44","Venezuela",0.410413642358408,-0.604398063762662,1.01481170612107
"45","Panama",0.530272778576127,-0.480440642983204,1.01071342155933
"46","Nigeria",0.378144018067986,-0.616596861700089,0.994740879768074
"47","Chile",0.409947228886658,-0.576435051114893,0.98638228000155
"48","Turkey",0.714034405908187,-0.237499868550913,0.9515342744591
"49","Saudi Arabia",0.208132585432133,-0.720138718527207,0.92827130395934
"50","Qatar",0.587321595776086,-0.324361314326026,0.911682910102112
"51","Wales",0.321715289234961,-0.570037066843623,0.891752356078584
"52","North Korea",0.383294990032356,-0.496675007049394,0.87996999708175
"53","Iraq",0.429799749780784,-0.44888816348253,0.878687913263315
"54","Cape Verde",0.259558595482405,-0.60275381993922,0.862312415421624
"55","New Zealand",0.276515573677496,-0.574282797944094,0.85079837162159
"56","Jordan",0.546388498271302,-0.290137073685507,0.836525571956809
"57","Cameroon",0.419356304404846,-0.412822426048537,0.832178730453383
"58","Equatorial Guinea",0.27685894012708,-0.543692475308377,0.820551415435457
"59","Jamaica",0.465096109624681,-0.351047229907306,0.816143339531987
"60","Paraguay",0.118680700455864,-0.689376575914061,0.808057276369925
"61","Romania",0.318104523896925,-0.46600857567461,0.784113099571535
"62","Burkina Faso",0.37402205758017,-0.38853005590517,0.76255211348534
"63","Republic of Ireland",0.169956377380863,-0.584713599357471,0.754669976738334
"64","DR Congo",0.124331322562673,-0.617429280161301,0.741760602723974
"65","Angola",0.184991605282422,-0.540823711966249,0.725815317248671
"66","South Africa",0.200339579405151,-0.492161078777565,0.692500658182716
"67","Oman",0.162356096475218,-0.52835091072719,0.690707007202408
"68","Georgia",0.471523429213096,-0.218032166310559,0.689555595523655
"69","Slovakia",0.276967642052588,-0.373000097389659,0.649967739442247
"70","Costa Rica",0.394919893887603,-0.239936102936538,0.634855996824141
"71","United Arab Emirates",0.293136065733193,-0.341577564915619,0.634713630648812
"72","Finland",0.291424307955277,-0.327720105472326,0.619144413427604
"73","Albania",0.113105460530302,-0.497500169290383,0.610605629820686
"74","Guinea",0.35901690504824,-0.244771184893644,0.603788089941884
"75","Haiti",0.492196080227625,-0.106709228763533,0.598905308991158
"76","Zambia",0.451230752668389,-0.134953170375924,0.586183923044313
"77","Bolivia",0.455200730051814,-0.110671270793428,0.565872000845242
"78","Guatemala",0.146621590140993,-0.372477946392118,0.519099536533111
"79","Palestine",0.28516686473984,-0.229722219887417,0.514889084627258
"80","Ghana",0.209065047443431,-0.29053947912632,0.499604526569751
"81","Israel",0.466601503319173,-0.0246103499901622,0.491211853309335
"82","Iceland",0.313961579860715,-0.147499521205595,0.461461101066309
"83","Montenegro",0.209670373991069,-0.243081578159171,0.45275195215024
"84","Syria",0.117936362055763,-0.330947699713616,0.448884061769379
"85","Kosovo",0.176693734311925,-0.268548466583837,0.445242200895762
